transaction_id,transaction_date,transaction_time,customer_id,product_id,product_category,quantity,price,total_amount,payment_method,store_location
101,2025-07-14,2:52:08,452,554,Clothing,3,60,180,Credit Card,Dallas
102,2025-01-31,7:47:29,287,527,Grocery,2,1.5,3,Credit Card,Chicago
103,2025-03-01,21:13:07,118,551,Grocery,2,1.5,3,Cash,Dallas
104,2025-04-14,21:45:02,308,503,Clothing,4,55,220,Cash,Chicago
105,2025-03-19,9:00:19,355,549,Furniture,2,500,1000,Debit Card,Los Angeles
106,2025-08-04,1:06:10,383,529,Clothing,3,60,180,Cash,Los Angeles
107,2025-08-28,3:51:30,146,520,Clothing,3,55,165,Cash,New York
108,2025-04-07,8:23:37,175,557,Electronics,5,799.99,3999.95,UPI,Los Angeles
109,2025-04-19,5:57:47,244,548,Grocery,3,2.5,7.5,UPI,Los Angeles
110,2025-03-30,21:30:22,385,594,Clothing,4,60,240,Cash,New York
111,2025-05-22,19:30:15,370,514,Grocery,5,1.5,7.5,Debit Card,Dallas
112,2025-01-23,1:07:38,116,564,Electronics,1,120,120,Credit Card,Boston
113,2025-06-22,7:57:13,115,516,Electronics,2,450,900,Debit Card,Miami
114,2025-04-09,12:35:58,406,586,Clothing,5,60,300,UPI,Chicago
115,2025-04-18,2:14:49,461,590,Electronics,5,300,1500,Credit Card,San Francisco
116,2025-04-23,18:09:01,106,575,Furniture,5,220,1100,Cash,San Francisco
117,2025-05-15,23:08:59,163,585,Clothing,5,60,300,Debit Card,Dallas
118,2025-08-09,15:41:21,364,563,Furniture,3,150,450,Debit Card,Dallas
119,2025-08-31,7:35:13,409,582,Electronics,2,799.99,1599.98,Cash,Los Angeles
120,2025-01-21,19:55:24,449,579,Grocery,4,4,16,Credit Card,Boston
121,2025-06-12,0:41:49,223,518,Furniture,1,75,75,Debit Card,Houston
122,2025-02-15,5:49:15,324,570,Furniture,1,220,220,Credit Card,Los Angeles
123,2025-04-25,3:22:20,497,537,Furniture,2,150,300,Debit Card,Houston
124,2025-04-12,15:30:50,351,596,Grocery,3,4,12,Credit Card,Dallas
125,2025-07-23,3:12:35,377,548,Electronics,4,799.99,3199.96,Credit Card,New York
126,2025-03-29,22:12:06,304,586,Grocery,5,2.5,12.5,Cash,San Francisco
127,2025-03-24,18:43:26,174,578,Electronics,2,450,900,Debit Card,Chicago
128,2025-08-04,16:43:59,389,593,Electronics,3,120,360,UPI,Los Angeles
129,2025-04-06,4:09:07,207,600,Clothing,1,55,55,Credit Card,Boston
130,2025-07-21,16:07:31,128,574,Electronics,3,300,900,Cash,Boston
131,2025-08-26,4:08:35,474,552,Furniture,3,500,1500,Debit Card,Los Angeles
132,2025-03-21,16:48:58,333,504,Electronics,3,120,360,Cash,Chicago
133,2025-02-03,19:51:55,183,560,Furniture,3,220,660,Credit Card,Chicago
134,2025-01-05,14:23:24,286,581,Clothing,4,55,220,Credit Card,Boston
135,2025-05-05,2:52:30,442,508,Clothing,5,35,175,UPI,Houston
136,2025-05-02,11:11:58,311,537,Grocery,2,1.5,3,Debit Card,Houston
137,2025-05-15,14:35:21,112,584,Electronics,1,120,120,UPI,Los Angeles
138,2025-03-23,3:03:36,293,549,Furniture,2,150,300,Debit Card,Miami
139,2025-08-15,20:41:00,155,570,Clothing,2,80,160,Cash,New York
140,2025-09-04,15:32:55,147,520,Electronics,1,300,300,Debit Card,Dallas
141,2025-07-25,4:13:50,161,575,Grocery,4,4,16,Credit Card,Miami
142,2025-03-10,18:28:24,266,552,Furniture,5,500,2500,Cash,New York
143,2025-08-21,18:18:26,200,549,Furniture,2,150,300,Debit Card,Los Angeles
144,2025-08-07,11:38:43,214,510,Clothing,1,55,55,Cash,Miami
145,2025-02-05,10:45:59,384,580,Electronics,3,300,900,Cash,Boston
146,2025-05-06,19:26:32,472,569,Grocery,1,2.5,2.5,Credit Card,San Francisco
147,2025-07-14,22:03:42,313,507,Clothing,3,80,240,Credit Card,Los Angeles
148,2025-05-24,18:15:15,222,574,Grocery,4,1.5,6,Debit Card,Miami
149,2025-03-01,16:16:12,324,587,Grocery,3,2.5,7.5,UPI,San Francisco
150,2025-07-07,14:57:38,101,595,Electronics,1,799.99,799.99,Debit Card,Chicago
151,2025-04-30,15:43:21,188,600,Electronics,1,120,120,Debit Card,Boston
152,2025-05-01,20:50:16,151,532,Clothing,4,35,140,UPI,Miami
153,2025-07-04,3:34:47,113,582,Furniture,5,500,2500,Cash,Boston
154,2025-04-12,11:41:49,481,523,Grocery,1,4,4,Credit Card,San Francisco
155,2025-01-21,13:43:10,475,556,Clothing,2,60,120,Debit Card,New York
156,2025-07-11,11:54:24,218,515,Furniture,5,150,750,Credit Card,Miami
157,2025-03-02,23:25:54,384,554,Furniture,5,500,2500,Cash,Miami
158,2025-03-10,8:33:29,339,518,Furniture,1,500,500,UPI,Dallas
159,2025-07-30,6:40:47,156,571,Electronics,5,120,600,Debit Card,Los Angeles
160,2025-08-30,9:02:34,318,592,Grocery,5,4,20,Credit Card,Miami
161,2025-01-20,15:23:18,355,551,Furniture,5,75,375,Debit Card,Chicago
162,2025-02-19,12:33:57,234,591,Clothing,1,55,55,Debit Card,San Francisco
163,2025-07-21,20:05:39,148,508,Electronics,1,450,450,Credit Card,New York
164,2025-03-18,18:49:07,200,589,Furniture,1,220,220,Credit Card,Miami
165,2025-08-19,18:43:14,435,528,Grocery,3,2.5,7.5,Debit Card,Los Angeles
166,2025-04-04,18:45:50,237,531,Clothing,3,80,240,Cash,Chicago
167,2025-05-02,4:39:34,140,558,Clothing,5,80,400,Cash,Houston
168,2025-07-10,19:31:13,237,527,Grocery,1,4,4,Cash,Dallas
169,2025-04-10,11:18:47,457,576,Clothing,3,55,165,Credit Card,Los Angeles
170,2025-04-05,4:30:49,211,511,Grocery,4,3.2,12.8,UPI,Chicago
171,2025-03-19,2:39:16,275,518,Electronics,2,799.99,1599.98,UPI,New York
172,2025-03-16,13:50:25,282,530,Electronics,3,300,900,Cash,Los Angeles
173,2025-09-05,23:01:48,297,600,Electronics,2,300,600,UPI,Dallas
174,2025-07-10,7:37:06,487,506,Clothing,5,60,300,Credit Card,Houston
175,2025-08-30,10:28:48,134,586,Furniture,3,220,660,Credit Card,Miami
176,2025-07-13,4:54:23,271,555,Electronics,3,799.99,2399.97,Debit Card,Boston
177,2025-08-19,14:03:54,221,530,Electronics,5,300,1500,Cash,New York
178,2025-08-18,23:59:53,251,501,Grocery,4,4,16,Credit Card,Dallas
179,2025-02-11,15:02:48,399,568,Grocery,4,3.2,12.8,Credit Card,San Francisco
180,2025-03-01,4:28:17,381,538,Clothing,4,60,240,Credit Card,Boston
181,2025-06-05,8:16:04,446,525,Electronics,2,450,900,Credit Card,New York
182,2025-05-28,16:43:20,350,553,Clothing,1,80,80,Cash,New York
183,2025-08-26,18:45:49,274,511,Furniture,5,150,750,UPI,Chicago
184,2025-04-22,7:08:53,429,557,Furniture,4,150,600,UPI,Miami
185,2025-06-07,7:47:36,118,527,Furniture,5,150,750,Debit Card,Dallas
186,2025-03-25,3:16:20,389,571,Grocery,3,1.5,4.5,Debit Card,Boston
187,2025-08-03,15:25:22,376,515,Clothing,3,60,180,Credit Card,Houston
188,2025-06-19,20:18:42,201,565,Furniture,5,75,375,Debit Card,Miami
189,2025-03-17,11:17:30,201,595,Furniture,5,150,750,Cash,New York
190,2025-03-02,5:02:30,266,569,Furniture,3,220,660,Cash,Dallas
191,2025-07-17,0:35:01,113,514,Clothing,3,55,165,UPI,Chicago
192,2025-07-17,22:56:11,404,572,Clothing,3,55,165,Debit Card,New York
193,2025-01-08,11:33:42,248,569,Clothing,1,55,55,Credit Card,Chicago
194,2025-05-20,6:28:50,437,588,Clothing,1,55,55,Cash,Dallas
195,2025-07-31,19:39:08,325,513,Grocery,1,3.2,3.2,UPI,Los Angeles
196,2025-09-01,19:30:07,277,520,Clothing,2,35,70,Debit Card,Boston
197,2025-06-20,21:03:14,459,507,Furniture,1,500,500,UPI,Boston
198,2025-04-27,18:16:47,104,592,Furniture,2,500,1000,Credit Card,Dallas
199,2025-05-25,19:25:46,388,584,Grocery,1,2.5,2.5,Credit Card,Houston
200,2025-05-26,16:38:09,175,530,Grocery,2,2.5,5,Debit Card,New York
201,2025-05-24,11:18:10,156,593,Furniture,5,75,375,Cash,Houston
202,2025-04-17,18:15:01,350,576,Furniture,2,500,1000,Credit Card,Los Angeles
203,2025-01-16,11:42:56,355,543,Furniture,1,75,75,Cash,Houston
204,2025-01-21,17:28:15,460,537,Clothing,2,60,120,Debit Card,Houston
205,2025-05-29,3:57:42,308,502,Electronics,5,300,1500,Cash,San Francisco
206,2025-05-08,1:04:00,186,518,Furniture,3,75,225,UPI,Los Angeles
207,2025-09-06,22:03:39,159,591,Clothing,4,80,320,Credit Card,Chicago
208,2025-06-22,22:13:36,422,515,Grocery,4,2.5,10,UPI,Dallas
209,2025-04-17,3:40:36,488,536,Clothing,2,55,110,Credit Card,San Francisco
210,2025-03-04,12:09:44,112,538,Electronics,5,300,1500,Debit Card,Boston
211,2025-02-22,4:57:04,436,505,Furniture,3,150,450,Debit Card,Dallas
212,2025-08-21,2:45:48,321,596,Clothing,5,60,300,Debit Card,Houston
213,2025-08-24,3:24:02,190,557,Clothing,4,35,140,Credit Card,Miami
214,2025-02-14,7:11:49,336,541,Electronics,4,450,1800,UPI,Chicago
215,2025-07-13,12:52:39,369,541,Electronics,5,450,2250,Cash,Miami
216,2025-08-27,14:56:53,300,526,Grocery,3,3.2,9.6,Credit Card,Boston
217,2025-04-09,17:25:42,297,570,Clothing,3,60,180,Credit Card,Houston
218,2025-05-31,3:56:13,100,537,Furniture,2,150,300,Credit Card,Los Angeles
219,2025-06-03,5:24:05,341,580,Clothing,3,80,240,Debit Card,Houston
220,2025-06-27,5:08:47,143,571,Furniture,4,150,600,Cash,Los Angeles
221,2025-02-25,13:34:37,243,554,Grocery,4,2.5,10,Cash,Chicago
222,2025-01-16,23:11:18,167,569,Grocery,3,2.5,7.5,Debit Card,New York
223,2025-04-13,14:59:10,182,521,Clothing,2,55,110,Cash,New York
224,2025-03-11,21:18:49,170,507,Furniture,5,220,1100,Credit Card,New York
225,2025-02-13,17:37:40,104,589,Furniture,1,75,75,Credit Card,Chicago
226,2025-04-16,15:50:04,364,592,Furniture,3,220,660,Credit Card,Boston
227,2025-03-25,8:04:25,349,590,Electronics,4,450,1800,Cash,Dallas
228,2025-08-03,3:55:47,491,554,Furniture,2,500,1000,Cash,Houston
229,2025-05-15,12:31:55,414,563,Clothing,5,55,275,Cash,Dallas
230,2025-09-05,7:15:26,108,520,Furniture,5,75,375,Debit Card,San Francisco
231,2025-02-05,0:48:27,145,546,Clothing,1,80,80,UPI,Houston
232,2025-08-16,7:36:44,420,567,Clothing,4,55,220,Debit Card,Dallas
233,2025-05-06,11:31:00,435,502,Furniture,2,75,150,Credit Card,Chicago
234,2025-02-13,2:49:09,123,541,Grocery,5,4,20,Credit Card,Miami
235,2025-05-10,12:37:05,280,508,Electronics,4,799.99,3199.96,Cash,Los Angeles
236,2025-08-30,6:45:08,235,593,Electronics,2,300,600,UPI,Los Angeles
237,2025-05-17,3:57:16,227,557,Grocery,5,4,20,Credit Card,Chicago
238,2025-01-26,21:53:10,103,565,Grocery,2,1.5,3,UPI,Houston
239,2025-01-14,20:56:42,127,521,Grocery,3,2.5,7.5,Credit Card,Los Angeles
240,2025-06-22,3:51:01,252,516,Electronics,2,799.99,1599.98,Cash,New York
241,2025-07-17,6:20:06,395,553,Electronics,3,799.99,2399.97,Credit Card,Los Angeles
242,2025-08-15,8:07:50,222,540,Furniture,2,220,440,UPI,Boston
243,2025-02-21,2:31:05,443,565,Clothing,4,55,220,Cash,Houston
244,2025-08-08,20:14:38,214,523,Grocery,2,2.5,5,Cash,Miami
245,2025-04-04,4:57:32,439,575,Clothing,2,80,160,Credit Card,Dallas
246,2025-07-05,16:34:35,255,571,Electronics,2,450,900,UPI,San Francisco
247,2025-02-25,5:42:29,488,526,Electronics,5,120,600,UPI,New York
248,2025-05-19,23:12:06,118,553,Electronics,1,799.99,799.99,Credit Card,San Francisco
249,2025-08-23,21:34:29,212,533,Clothing,2,80,160,Credit Card,New York
250,2025-07-18,19:12:05,170,577,Furniture,2,75,150,UPI,Boston
251,2025-04-05,5:34:24,200,522,Electronics,5,120,600,Credit Card,San Francisco
252,2025-07-27,13:10:45,377,577,Grocery,1,4,4,UPI,New York
253,2025-03-20,4:07:14,172,516,Clothing,5,55,275,UPI,Houston
254,2025-03-27,12:58:56,254,589,Grocery,5,4,20,Credit Card,San Francisco
255,2025-05-31,19:42:20,256,515,Electronics,1,450,450,Cash,Boston
256,2025-05-22,6:22:45,137,573,Electronics,3,450,1350,UPI,Los Angeles
257,2025-06-29,20:09:04,159,503,Clothing,2,60,120,UPI,Chicago
258,2025-05-05,5:49:37,137,508,Electronics,4,300,1200,Debit Card,Los Angeles
259,2025-07-16,0:57:06,231,549,Clothing,3,60,180,Credit Card,Houston
260,2025-02-09,20:33:35,106,545,Clothing,5,80,400,Credit Card,Houston
261,2025-02-28,5:39:03,195,577,Furniture,1,75,75,Debit Card,Los Angeles
262,2025-02-27,17:18:09,211,510,Clothing,4,80,320,Cash,Houston
263,2025-02-25,6:23:56,352,586,Grocery,3,3.2,9.6,Cash,Dallas
264,2025-01-12,23:33:44,338,590,Furniture,1,220,220,Cash,Houston
265,2025-04-30,3:43:25,207,527,Electronics,3,300,900,Debit Card,Chicago
266,2025-07-04,10:47:07,449,518,Grocery,2,4,8,UPI,New York
267,2025-03-18,12:56:25,220,588,Clothing,3,80,240,Credit Card,Los Angeles
268,2025-08-13,7:17:17,497,561,Electronics,4,300,1200,UPI,New York
269,2025-05-24,9:59:24,325,587,Grocery,4,4,16,Credit Card,Boston
270,2025-01-20,21:48:03,234,525,Electronics,4,799.99,3199.96,UPI,Dallas
271,2025-09-02,7:27:23,385,553,Clothing,5,35,175,Debit Card,San Francisco
272,2025-01-07,20:17:20,201,533,Grocery,4,3.2,12.8,Cash,Los Angeles
273,2025-01-26,18:33:37,492,513,Grocery,1,2.5,2.5,Debit Card,New York
274,2025-08-10,19:37:59,157,564,Electronics,1,300,300,Cash,San Francisco
275,2025-04-19,8:02:50,329,577,Furniture,2,500,1000,Credit Card,Boston
276,2025-02-06,5:16:02,100,563,Grocery,2,4,8,Debit Card,Miami
277,2025-07-02,3:50:17,301,548,Clothing,4,35,140,Cash,Houston
278,2025-01-05,17:06:58,200,507,Furniture,4,75,300,Credit Card,Boston
279,2025-03-04,12:57:34,426,549,Grocery,3,3.2,9.6,Credit Card,Dallas
280,2025-01-17,19:26:33,256,566,Grocery,2,3.2,6.4,Cash,Boston
281,2025-01-08,3:20:36,336,540,Clothing,5,60,300,Credit Card,New York
282,2025-02-17,7:21:37,199,594,Electronics,4,450,1800,Credit Card,Los Angeles
283,2025-04-27,1:43:52,117,500,Clothing,4,80,320,UPI,San Francisco
284,2025-01-13,12:17:25,254,503,Electronics,5,120,600,UPI,Miami
285,2025-07-02,13:03:18,443,549,Electronics,2,799.99,1599.98,Cash,Miami
286,2025-06-01,8:24:05,130,572,Furniture,4,75,300,Cash,Houston
287,2025-08-03,20:15:26,231,592,Clothing,3,80,240,Debit Card,Boston
288,2025-05-25,2:16:59,454,505,Electronics,4,120,480,UPI,Miami
289,2025-04-26,3:06:18,478,565,Grocery,1,4,4,Credit Card,Dallas
290,2025-03-18,12:50:30,129,507,Furniture,1,75,75,Debit Card,Chicago
291,2025-03-28,22:12:11,416,553,Furniture,3,500,1500,Debit Card,Miami
292,2025-06-10,10:12:26,418,597,Electronics,3,120,360,Debit Card,Boston
293,2025-04-22,10:51:58,191,503,Grocery,2,3.2,6.4,UPI,Chicago
294,2025-09-07,7:28:13,136,599,Grocery,3,4,12,Debit Card,Houston
295,2025-09-05,22:46:30,488,562,Furniture,1,150,150,Credit Card,Chicago
296,2025-04-21,12:29:46,330,554,Grocery,4,1.5,6,Credit Card,New York
297,2025-04-05,5:58:36,414,584,Clothing,5,80,400,Credit Card,San Francisco
298,2025-03-03,5:28:24,428,571,Furniture,5,500,2500,Debit Card,Dallas
299,2025-08-09,2:37:57,147,540,Electronics,2,799.99,1599.98,Cash,Miami
300,2025-02-14,20:59:50,413,519,Grocery,2,1.5,3,Debit Card,New York
301,2025-04-25,15:42:57,197,521,Clothing,3,35,105,Debit Card,New York
302,2025-04-26,5:46:34,477,529,Grocery,1,1.5,1.5,Cash,Houston
303,2025-07-07,2:48:54,430,505,Furniture,3,500,1500,Credit Card,Los Angeles
304,2025-09-04,6:40:53,320,568,Electronics,2,450,900,UPI,San Francisco
305,2025-02-15,9:56:22,356,502,Clothing,2,55,110,UPI,San Francisco
306,2025-02-17,15:11:48,165,517,Electronics,2,799.99,1599.98,Cash,Chicago
307,2025-06-13,20:25:51,140,575,Furniture,2,150,300,Credit Card,Chicago
308,2025-04-25,22:53:30,101,583,Electronics,4,300,1200,Credit Card,New York
309,2025-08-08,23:31:55,476,564,Furniture,5,150,750,UPI,Houston
310,2025-07-10,23:37:19,375,569,Grocery,2,3.2,6.4,Credit Card,Houston
311,2025-08-05,16:30:13,459,547,Electronics,5,120,600,Debit Card,Dallas
312,2025-06-12,8:16:36,450,508,Clothing,1,80,80,Debit Card,Chicago
313,2025-05-19,7:18:02,447,583,Electronics,3,300,900,Debit Card,Chicago
314,2025-01-03,3:16:34,446,534,Grocery,5,4,20,Cash,Houston
315,2025-03-20,22:06:25,170,574,Furniture,1,150,150,Cash,Houston
316,2025-03-30,13:25:03,340,524,Furniture,4,220,880,Debit Card,New York
317,2025-01-20,18:36:17,212,530,Furniture,2,500,1000,Cash,Los Angeles
318,2025-05-20,14:18:18,325,570,Clothing,4,60,240,Debit Card,Chicago
319,2025-04-29,9:49:22,222,594,Clothing,1,60,60,UPI,Boston
320,2025-02-05,22:00:03,122,526,Clothing,1,55,55,Debit Card,New York
321,2025-02-20,2:05:26,230,569,Clothing,1,35,35,Credit Card,New York
322,2025-01-14,23:23:33,210,558,Grocery,5,4,20,Debit Card,New York
323,2025-07-26,10:17:56,212,537,Clothing,5,60,300,Debit Card,Dallas
324,2025-02-07,8:53:24,381,582,Furniture,4,150,600,Debit Card,Houston
325,2025-08-25,7:02:31,267,545,Clothing,1,60,60,Cash,New York
326,2025-06-26,19:22:25,417,533,Clothing,1,60,60,Debit Card,Miami
327,2025-02-17,16:24:48,455,507,Furniture,3,220,660,UPI,Houston
328,2025-01-31,18:27:15,289,544,Grocery,2,4,8,Debit Card,Houston
329,2025-07-08,18:28:43,492,598,Furniture,5,150,750,Credit Card,San Francisco
330,2025-02-04,21:45:13,436,584,Grocery,2,4,8,Debit Card,Boston
331,2025-01-06,15:29:56,180,549,Electronics,2,120,240,Debit Card,Houston
332,2025-09-08,9:49:30,192,500,Clothing,5,35,175,Debit Card,Chicago
333,2025-04-04,6:19:27,397,592,Furniture,4,75,300,Cash,Dallas
334,2025-06-03,12:03:53,214,569,Furniture,1,150,150,Cash,Boston
335,2025-02-16,11:44:23,446,563,Furniture,4,150,600,UPI,San Francisco
336,2025-04-01,18:37:38,262,502,Furniture,5,500,2500,Credit Card,Chicago
337,2025-06-22,3:24:56,284,510,Electronics,3,300,900,Cash,Miami
338,2025-03-25,17:53:09,448,572,Electronics,1,300,300,Debit Card,Dallas
339,2025-07-18,20:44:41,241,567,Clothing,3,80,240,Cash,Los Angeles
340,2025-01-06,13:00:58,240,583,Clothing,2,80,160,Credit Card,Chicago
341,2025-02-17,11:28:41,462,592,Clothing,3,80,240,Cash,Houston
